origin_zip,destination_zip,orders,avg_delivery_days,late_delivery_rate,avg_distance_km
3333,8041,8,8.09,0.0,13.85
35680,80210,8,12.75,0.0,764.47
14940,31110,8,12.15,0.125,548.58
14940,33200,8,17.6,0.25,555.96
14940,37640,8,14.79,0.125,285.65
14940,35300,8,16.7,0.125,729.32
14940,13064,8,23.05,0.375,227.06
14940,13348,8,7.97,0.0,222.72
14940,29306,8,10.11,0.0,806.41
2310,76811,8,21.33,0.0,2457.05
14940,20541,8,24.31,0.5,588.67
7070,5407,8,3.23,0.0,17.73
14940,36500,8,14.36,0.0,613.4
14940,11701,8,17.07,0.25,351.65
12306,2411,8,4.33,0.0,72.16
1512,49700,8,31.51,0.5,1770.89
14940,20520,8,15.96,0.25,590.17
12230,1233,8,7.1,0.0,86.25
87025,90240,8,10.59,0.0,739.86
14940,29101,8,14.24,0.125,900.09
3204,18460,8,7.4,0.0,287.65
15025,88137,8,20.17,0.0,765.17
4719,22725,8,16.18,0.0,349.52
14940,20720,8,11.55,0.0,584.08
14940,1230,8,9.16,0.0,298.05
3204,11740,8,19.5,0.0,69.78
14940,35700,8,15.41,0.125,541.02
14940,36400,8,23.81,0.125,537.8
8577,11750,8,25.86,0.125,110.59
14940,3325,8,7.09,0.0,306.97
1026,35160,8,5.17,0.0,616.65
8577,22775,8,19.12,0.0,310.24
84530,14610,8,9.42,0.0,602.4
14940,22011,7,12.41,0.0,596.57
14940,24240,7,15.43,0.1429,602.87
13405,21321,7,9.89,0.0,441.98
14940,88058,7,22.1,0.0,633.69
14940,14801,7,3.97,0.0,66.63
3204,12043,7,11.03,0.0,114.78
14940,36202,7,11.05,0.0,526.1
14940,12970,7,8.46,0.0,292.14
5849,9130,7,7.17,0.0,25.87
14940,20551,7,12.57,0.0,588.52
8577,7793,7,9.96,0.0,47.93
14940,13214,7,8.63,0.0,250.68
13405,12233,7,4.95,0.0,191.57
8577,71020,7,22.08,0.1429,869.14
14940,6341,7,8.49,0.0,288.55
14940,21235,7,17.73,0.1429,579.17
13405,11065,7,3.59,0.0,194.2
3204,32115,7,8.21,0.0,487.69
3204,92310,7,11.29,0.0,839.5
14940,22783,7,18.97,0.4286,569.82
14940,95330,7,11.43,0.0,843.7
14940,11250,7,12.05,0.1429,363.23
14940,11025,7,12.87,0.0,356.78
14940,18800,7,10.2,0.0,170.0
4782,36570,7,20.68,0.8571,511.54
14940,8225,7,17.73,0.4286,312.87
18608,1543,7,8.24,0.0,203.53
14940,90010,7,17.54,0.0,950.99
14940,27525,7,22.96,0.5714,453.47
14940,4854,7,13.14,0.0,311.52
14940,9371,7,5.71,0.0,321.7
3265,87045,7,8.72,0.0,546.27
14940,20261,7,10.43,0.2857,591.96
93180,7070,7,15.91,0.0,835.24
15601,4311,7,6.62,0.0,526.37
84530,39573,7,19.86,0.0,1297.69
8577,21321,7,27.88,0.0,314.51
18608,85025,7,10.18,0.0,416.87
5849,22710,7,16.3,0.0,354.3
14940,3755,7,10.85,0.0,308.33
18608,30535,7,5.76,0.0,566.61
80310,39401,7,15.89,0.0,1122.53
87015,13279,7,15.7,0.0,506.96
8820,8766,7,3.19,0.0,5.46
13290,4544,7,10.48,0.0,63.21
14075,13271,7,6.13,0.0,219.0
15025,21331,7,11.11,0.0,662.74
14940,13080,6,13.09,0.1667,217.71
3204,89620,6,12.17,0.0,630.88
14940,22753,6,22.31,0.1667,581.19
14940,13177,6,8.31,0.0,202.21
14940,38408,6,11.58,0.0,320.8
75123,37701,6,17.16,0.0,654.82
38440,9812,6,10.92,0.0,588.52
14940,71070,6,7.9,0.0,665.3
4438,11030,6,1.62,0.0,50.74
3204,11070,6,12.75,0.6667,45.71
14940,15130,6,13.61,0.0,126.12
14940,14403,6,8.2,0.0,200.71
12570,3654,6,7.02,0.0,149.92
14940,8120,6,11.97,0.0,316.33
14940,7170,6,18.34,0.1667,308.39
14940,31615,6,12.45,0.0,550.48
14940,13060,6,16.85,0.1667,219.71
18279,13660,6,4.98,0.0,167.55
14940,15046,6,8.34,0.0,122.28
14940,13566,6,15.75,0.0,100.89
14092,70255,6,27.89,1.0,596.16
21825,13482,6,7.33,0.0,407.36
24451,16200,6,10.46,0.0,774.23
13087,60165,6,34.73,1.0,2318.3
8577,8560,6,15.93,0.0,5.91
14940,9910,6,11.07,0.1667,311.75
2124,39801,6,5.58,0.0,820.78
14940,13050,6,11.05,0.1667,221.64
8577,83414,6,24.12,0.0,352.14
3204,44900,6,14.84,0.0,1454.54
3204,4038,6,2.87,0.0,8.64
81130,82200,6,11.55,0.0,12.53
9360,60150,6,13.09,0.0,2377.08
14940,91510,6,16.97,0.0,953.75
14940,8260,6,10.83,0.0,317.52
87083,12952,6,16.48,1.0,546.94
8577,82410,6,45.19,1.0,366.59
8577,28930,6,23.03,0.0,444.83
13186,12243,6,2.33,0.0,137.57
14940,88495,6,17.37,0.0,698.75
14940,20735,6,18.52,0.0,584.14
14940,30350,6,9.15,0.0,545.7
14940,22250,6,15.34,0.0,595.98
18131,4552,6,9.9,1.0,47.68
14940,38702,6,12.82,0.0,428.66
14940,19600,6,7.22,0.0,219.27
14940,26510,6,21.72,0.5,569.25
14940,13870,6,9.61,0.0,211.38
3476,84174,6,10.0,0.0,378.53
14940,9450,6,9.42,0.0,333.5
14085,78065,6,30.27,1.0,1069.1
14079,1327,6,8.2,0.0,293.06
14940,29060,6,20.68,0.5,900.69
14092,3693,6,4.58,0.0,293.51
3204,37576,6,20.07,0.0,143.89
3334,22793,6,18.05,0.0,329.33
6144,58073,6,24.54,0.0,2225.15
14940,19912,6,7.53,0.0,172.41
15025,87005,6,16.47,0.0,392.68
5849,13188,6,19.96,0.0,97.24
14940,22230,6,20.37,0.0,595.93
90230,35501,6,19.05,0.0,1264.67
14940,13480,6,8.04,0.0,172.52
30775,71625,6,4.72,0.0,612.14
1512,2252,6,24.96,1.0,9.33
51250,29702,6,13.77,0.0,1409.62
11701,9080,6,1.69,0.0,42.83
23062,21031,6,3.9,0.0,35.66
14940,11702,6,16.72,0.3333,350.7
2976,22723,6,7.04,0.0,344.26
20756,22470,6,2.85,0.0,12.45
8577,14600,6,17.72,0.0,357.5
3204,39270,6,9.54,0.0,715.79
14940,31330,6,12.6,0.0,544.14
14940,35900,6,13.8,0.1667,629.33
14940,28960,6,22.12,0.3333,690.29
32604,80620,6,2.8,0.0,804.44
95059,46500,6,16.8,0.0,1990.32
89460,4551,6,13.18,0.0,471.29
88359,26310,6,8.28,0.0,733.6
24440,79332,6,13.8,0.0,1573.98
14940,4006,6,6.58,0.0,301.82
18048,7161,6,7.83,0.0,106.32
3933,25581,6,11.89,0.0,334.08
14620,13202,6,3.51,0.0,295.42
3910,4447,6,24.22,1.0,20.3
2030,97590,6,7.36,0.0,1112.88
14940,22450,6,12.41,0.0,591.44
14940,19400,6,8.01,0.0,311.53
75901,65077,6,15.27,0.0,1848.84
4782,39130,6,10.58,0.0,663.1
88210,35195,6,8.76,0.0,1078.22
14940,20260,6,10.4,0.0,591.67
22793,22451,6,9.81,0.0,17.27
3542,37410,6,12.81,0.0,241.61
15014,23895,6,12.3,0.0,623.27
25957,20511,6,2.19,0.0,61.86
14940,26900,6,14.6,0.1667,557.55
3204,13178,6,5.61,0.0,110.01
14940,12951,6,10.34,0.0,276.46
14940,39440,6,18.17,0.0,880.33
87114,4576,6,9.73,0.0,528.24
89041,6612,6,14.07,0.0,437.08
3204,34400,6,5.81,0.0,493.67
14940,3590,6,5.52,0.0,312.32
4265,4045,6,3.87,0.0,4.27
2030,80320,6,7.77,0.0,346.72
4782,79904,6,12.01,0.0,931.31
15013,24230,6,11.12,0.0,683.47
2634,29645,6,8.34,0.0,718.45
4361,22440,6,8.01,0.0,358.96
13076,69901,6,14.03,0.0,2633.37
14940,13219,6,8.15,0.0,257.94
5734,4071,6,10.11,0.0,9.29
38408,6020,6,5.27,0.0,535.75
8820,74223,6,12.21,0.0,822.96
1212,58013,6,15.25,0.0,2215.68
13347,77016,6,11.86,0.0,1441.19
35680,13208,6,12.08,0.0,421.47
8577,89115,6,19.86,0.0,452.17
14940,88020,6,11.71,0.0,649.62
35680,22765,6,15.01,0.3333,343.88
14940,87020,6,8.26,0.0,368.75
15025,35700,6,15.14,0.0,557.25
8577,22631,6,23.36,0.0,313.77
15704,19013,6,5.15,0.0,223.99
9710,14095,6,7.13,0.0,306.88
3273,13175,6,9.66,1.0,109.43
14940,21941,6,11.47,0.0,586.47
14940,6865,6,13.14,0.0,304.13
9220,14780,6,13.1,0.0,400.22
14940,20950,6,13.84,0.0,587.3
4265,75020,6,4.12,0.0,843.66
3111,15084,6,8.96,0.0,416.79
35680,9682,6,6.04,0.0,450.37
2030,23914,6,10.57,0.0,250.41
14940,11045,6,10.59,0.0,355.71
4782,19812,6,6.99,0.0,395.17
14085,81130,6,10.01,0.0,506.25
3052,90040,6,40.06,1.0,855.05
88010,88820,6,15.48,1.0,144.78
81350,13473,6,5.74,0.0,371.28
14085,5410,6,12.41,0.0,289.61
14780,89610,6,11.86,0.0,793.39
84430,11661,6,7.14,0.0,556.43
3204,73770,6,11.29,0.0,1056.28
13186,6018,6,1.71,0.0,84.3
15025,14900,6,6.28,0.0,106.12
15025,70875,6,10.08,0.0,585.47
81350,4890,6,7.18,0.0,322.72
14940,45810,6,0.86,0.0,1183.14
11250,4068,6,7.78,0.0,61.76
9220,40155,6,9.73,0.0,1451.76
14940,22763,6,9.96,0.0,575.15
3701,18530,6,36.75,1.0,127.15
14940,97590,6,22.36,0.1667,1123.42
8577,83704,6,22.78,0.0,385.64
35530,14740,6,19.93,0.0,370.53
7094,33400,6,11.31,0.0,504.63
6132,35162,6,10.29,0.0,631.16
25803,73770,6,21.23,0.0,996.71
6162,5786,6,17.42,1.0,9.82
3068,79570,6,20.18,0.0,605.87
4782,13478,6,4.09,0.0,122.31
89053,86800,6,6.99,0.0,440.48
93348,78360,6,13.21,0.0,1904.71
14940,41830,6,26.52,0.5,1467.87
3417,20241,6,13.67,0.0,350.3
3880,17208,6,3.49,0.0,252.57
13405,78050,6,16.53,0.0,1185.15
14940,6815,6,9.92,0.0,295.17
7084,3405,6,2.08,0.0,12.11
15025,13024,6,12.47,0.0,334.39
4281,88015,6,5.25,0.0,483.85
14940,6795,6,8.11,0.0,293.33
35680,99200,6,11.5,0.0,1223.67
16200,14801,6,6.74,0.0,229.88
13030,17580,6,15.73,0.0,331.72
4102,78550,6,20.12,0.0,1606.74
14940,4515,6,11.1,0.1667,302.2
87160,13490,6,5.07,0.0,484.71
87005,4510,6,11.15,0.0,536.27
14940,11030,6,11.11,0.0,358.33
14092,89035,6,22.4,0.0,650.81
8180,4109,6,10.01,0.0,23.4
89254,8810,6,12.23,0.0,445.3
3280,65065,6,21.03,0.0,2357.42
37564,9820,6,9.22,0.0,169.02
8577,3984,6,20.87,0.0,20.02
51250,37470,6,8.99,0.0,1894.84
25803,6709,6,7.88,0.0,405.86
81825,70275,6,6.93,0.0,1087.91
21840,13561,6,14.19,0.0,465.99
2236,2542,6,2.23,0.0,9.37
4361,9860,6,8.25,0.0,11.3
25645,36900,6,14.06,0.0,281.37
11701,4939,6,6.39,0.0,50.32
2804,11674,6,12.65,0.0,129.85
21921,37930,6,15.36,0.0,383.02
15025,75650,6,13.18,0.0,342.88
3204,29147,6,10.42,0.0,732.09
4445,3061,6,2.99,0.0,18.9
83707,26051,6,7.98,0.0,677.86
9911,19812,6,11.84,0.0,403.34
38408,71950,6,8.95,0.0,343.71
8752,11440,6,2.18,0.0,49.02
38414,67030,6,43.86,1.0,1952.12
23062,21060,6,2.51,0.0,34.74
2443,37200,6,12.97,0.0,300.19
7113,58407,6,13.77,0.0,2133.51
87030,14620,6,21.93,0.0,513.66
36500,78600,6,20.38,0.0,1142.95
8577,22735,6,28.89,0.0,313.8
38408,24220,6,11.07,0.0,693.45
7023,19400,6,5.44,0.0,572.59
14940,22261,6,8.81,0.0,594.04
3933,22261,6,11.33,0.0,344.07
2030,89707,6,5.25,0.0,684.08
5530,37150,6,10.28,0.0,296.09
37584,29032,6,30.29,1.0,581.51
2030,2836,6,8.11,0.0,8.23
14940,78665,6,20.2,0.0,1152.87
94451,30150,6,4.76,0.0,1337.03
9230,95760,6,6.96,0.0,819.09
15025,97037,6,14.04,0.0,1084.06
2443,13602,6,22.12,1.0,145.09
4782,98970,6,6.89,0.0,934.06
2030,1303,6,7.9,0.0,5.42
71825,72250,6,7.05,0.0,14.95
4782,62350,6,10.25,0.0,2292.05
89041,82410,6,7.19,0.0,171.88
14940,22750,5,14.39,0.0,580.29
14940,30310,5,15.62,0.0,547.6
3204,85505,5,9.63,0.0,681.69
14940,23063,5,12.3,0.0,553.45
14092,60824,5,9.5,0.0,2176.68
14940,74650,5,31.43,0.6,569.01
14940,13035,5,9.06,0.0,221.48
15025,6764,5,15.22,0.4,412.7
14940,20521,5,9.14,0.0,590.2
8577,99670,5,31.26,0.0,802.86
14940,35701,5,10.49,0.0,542.41
14940,90430,5,27.29,0.2,949.89
9015,4104,5,2.57,0.0,14.98
14940,13504,5,13.12,0.0,147.06
14940,20561,5,21.85,0.2,585.34
14940,28930,5,27.81,0.2,709.83
4361,22750,5,22.39,0.0,348.73
81880,22070,5,3.98,0.0,680.88
14940,29167,5,24.26,0.4,906.97
3204,8420,5,8.25,0.0,14.47
14940,35400,5,18.31,0.2,572.74
9572,68926,5,15.65,0.0,2669.35
14940,9330,5,12.88,0.4,325.38
14940,37701,5,12.39,0.0,233.62
8577,22793,5,49.19,0.4,307.4
12940,4130,5,3.77,0.0,54.94
9190,4349,5,1.95,0.0,11.41
4763,3216,5,18.11,1.0,17.88
21840,3058,5,13.34,0.0,327.6
14940,75690,5,23.65,0.4,447.31
18608,88070,5,8.7,0.0,525.59
13473,13905,5,5.63,0.0,51.9
37564,9430,5,11.68,0.0,161.53
9350,37550,5,11.12,0.0,169.03
13660,44900,5,33.74,1.0,1317.94
14092,20921,5,25.59,1.0,504.96
17209,38400,5,11.77,0.0,374.86
14940,9725,5,21.12,0.2,318.26
14940,29090,5,13.38,0.0,904.13
14940,13211,5,11.62,0.0,252.58
25850,85857,5,14.68,0.0,1204.65
14940,22441,5,20.87,0.4,592.2
86706,13295,5,14.9,0.0,447.3
3204,90050,5,12.73,0.0,852.73
14940,95200,5,16.56,0.0,779.8
8577,13049,5,14.47,0.0,94.29
8577,22790,5,23.28,0.0,301.03
25645,2082,5,7.36,0.0,364.33
8577,86975,5,18.22,0.0,541.54
13920,4150,5,4.02,0.0,101.82
14940,13308,5,10.85,0.2,237.1
14940,90620,5,18.28,0.0,952.04
15025,35502,5,12.48,0.0,474.58
14940,91787,5,28.11,0.6,962.5
14940,3437,5,7.93,0.0,309.57
14940,13343,5,7.23,0.0,223.89
14940,8450,5,15.3,0.2,318.78
15601,14177,5,8.21,0.0,251.1
3910,13468,5,3.46,0.0,125.63
9628,60310,5,10.3,0.0,2379.01
14940,31930,5,16.66,0.0,553.09
13403,4685,5,3.85,0.0,144.67
14940,9895,5,9.37,0.0,317.13
87025,69055,5,29.02,0.0,2418.82
14940,22795,5,17.6,0.0,569.36
14940,7124,5,11.54,0.0,300.49
13347,13846,5,3.15,0.0,93.56
14940,38410,5,10.75,0.0,317.74
11701,6253,5,1.87,0.0,68.72
3933,55004,5,11.15,0.0,2037.58
2804,12230,5,1.12,0.0,87.57
1212,11680,5,13.41,0.0,157.96
15025,18053,5,5.69,0.0,356.18
14940,11310,5,12.39,0.2,350.79
35680,13020,5,14.87,0.0,405.98
15025,20251,5,11.02,0.0,680.53
14940,22231,5,12.71,0.0,595.41
14403,41610,5,26.8,0.4,1279.42
14940,24210,5,17.98,0.2,600.13
14940,30180,5,11.09,0.0,546.79
14940,15056,5,12.21,0.0,121.48
25645,88301,5,14.42,0.0,734.52
14940,36201,5,12.15,0.2,524.86
14940,29055,5,19.12,0.4,900.36
14940,7144,5,9.76,0.2,300.35
14940,38400,5,11.19,0.0,321.43
88352,21555,5,8.39,0.0,728.55
14940,11900,5,10.01,0.0,321.0
14940,6710,5,8.95,0.0,289.67
14940,21230,5,14.52,0.0,578.91
14940,14680,5,6.79,0.0,136.33
14940,19360,5,9.24,0.0,292.31
14940,20560,5,22.38,0.2,587.46
6162,38747,5,22.07,0.0,513.06
4265,91260,5,18.97,0.0,845.11
14940,9220,5,11.97,0.0,313.57
9015,9892,5,3.34,0.0,5.92
15025,30150,5,13.67,0.0,577.72
13405,35180,5,12.91,0.0,628.33
9628,2402,5,3.71,1.0,20.06
16200,97700,5,16.08,0.0,988.19
13405,13150,5,6.94,0.0,49.33
14940,13295,5,13.32,0.2,239.85
87083,39510,5,8.34,0.0,1343.65
14940,14140,5,8.19,0.0,122.17
4782,9360,5,4.0,0.0,25.15
14940,3058,5,9.71,0.0,303.39
1026,2018,5,7.11,0.0,4.89
89460,21550,5,11.65,0.0,801.4
14940,6694,5,5.34,0.0,277.62
14940,8390,5,19.69,0.2,319.33
15025,93224,5,18.16,0.0,1018.91
14940,34800,5,9.71,0.0,575.7
14940,4814,5,9.03,0.0,310.73
14940,13145,5,7.59,0.0,201.92
14940,33600,5,13.67,0.0,552.32
38440,26556,5,10.54,0.0,674.44
14940,6900,5,9.25,0.0,309.94
14940,5145,5,11.4,0.0,290.78
6365,30610,5,12.39,0.0,495.78
14940,6416,5,10.84,0.0,276.6
3265,5626,5,8.83,0.0,19.6
14940,16370,5,7.61,0.0,108.84
38408,89694,5,11.88,0.0,972.16
9015,72225,5,10.82,0.0,888.46
4782,14401,5,8.37,0.0,358.62
89160,4140,5,8.06,0.0,502.09
14940,45028,5,15.45,0.0,1140.56
15014,13460,5,7.78,0.0,306.59
15025,85301,5,13.53,0.0,597.65
14940,11700,5,12.64,0.0,352.69
15025,68700,5,25.09,0.0,2194.27
3204,35430,5,16.55,0.0,517.54
14940,13277,5,10.14,0.0,233.04
9780,9725,5,5.48,0.0,2.23
9710,19053,5,26.11,0.0,527.61
31255,80740,5,18.69,0.0,828.28
7032,4530,5,14.17,0.0,14.86
14940,38610,5,10.94,0.0,633.22
15025,96810,5,19.36,0.0,1036.79
87083,3127,5,5.96,0.0,547.74
25803,4120,5,15.75,0.0,386.98
8577,21030,5,23.19,0.0,325.03
13720,3168,5,12.49,0.0,222.17
13405,36415,5,14.83,0.0,462.94
14940,3132,5,9.25,0.0,307.16
14940,12230,5,8.96,0.0,343.45
4674,18207,5,33.72,1.0,141.21
8577,23900,5,42.3,1.0,216.12
13920,11618,5,11.52,0.0,174.36
5186,90870,5,14.98,0.6,860.53
14940,20230,5,17.98,0.2,594.24
14940,35790,5,27.33,0.4,566.65
87047,5351,5,12.26,0.0,523.52
14940,87820,5,11.3,0.0,459.15
2030,9041,5,2.64,0.0,19.59
14940,14401,5,5.07,0.0,202.58
4265,30350,5,5.94,0.0,489.49
4782,22793,5,30.94,1.0,345.44
4265,94510,5,8.39,0.0,844.65
14940,6381,5,10.39,0.2,285.1
4782,58059,5,19.13,0.0,2231.01
14940,78200,5,12.32,0.0,1126.0
14940,90550,5,12.86,0.2,947.85
13405,35500,5,14.07,0.0,405.44
5126,33823,5,7.12,0.0,495.18
14940,30570,5,12.81,0.0,542.25
2066,22290,5,6.9,0.0,355.66
4782,13412,5,5.48,0.0,148.91
15601,21842,5,13.53,0.0,756.8
33200,95034,5,11.64,0.0,1278.85
8577,3058,5,9.09,0.0,23.58
15601,4569,5,6.6,0.0,520.61
3933,9790,5,9.7,0.0,16.53
9015,13040,5,5.62,0.0,96.99
8577,57020,5,21.27,0.0,1909.33
9015,38190,5,7.88,0.0,431.95
13405,3559,5,4.45,0.0,151.03
15025,83900,5,17.71,0.0,572.15
8577,47990,5,65.79,1.0,1391.46
14940,14020,5,6.3,0.0,122.99
89160,4521,5,13.96,0.0,492.88
3204,18117,5,14.91,1.0,91.81
80310,96840,5,11.13,0.0,567.14
13270,4602,5,9.56,0.0,79.06
3204,80520,5,7.03,0.0,341.07
14940,13054,5,19.76,0.4,221.32
85816,26435,5,28.19,1.0,1025.85
35680,25655,5,16.07,0.0,307.17
14940,28896,5,39.29,0.8,715.35
91740,35519,5,8.05,0.0,1299.32
13290,12721,5,8.15,0.0,214.66
3470,49040,5,11.95,0.0,1723.31
15025,75701,5,17.92,0.0,329.76
14940,31742,5,8.34,0.0,551.86
14940,35960,5,10.54,0.0,597.41
13403,95520,5,16.26,0.0,837.9
17209,22270,5,13.03,0.0,554.71
87030,85501,5,14.72,0.0,321.72
14940,11440,5,8.0,0.0,362.81
3194,22251,5,6.18,0.0,353.06
13481,3309,5,4.99,0.0,135.77
9320,3040,5,5.23,0.0,22.18
14020,3612,5,5.31,0.0,288.63
15601,4856,5,11.12,0.0,533.67
14096,4917,5,15.56,0.0,295.98
14940,13201,5,4.6,0.0,255.2
15025,73770,5,11.29,0.0,767.48
3562,11030,5,4.53,0.0,52.78
7031,64150,5,11.08,0.0,2240.61
4445,85804,5,19.67,0.0,704.72
19803,6630,5,10.38,0.0,375.71
14050,25212,5,10.75,0.0,499.82
15025,13487,5,11.24,0.0,286.86
14940,14090,5,8.3,0.0,125.43
14940,27600,5,19.17,0.2,530.89
82810,61760,5,16.12,0.0,2658.16
3933,30140,5,10.88,0.0,484.85
13660,26255,5,8.23,0.0,425.46
6506,5869,5,9.06,0.0,34.54
14940,18079,5,10.18,0.0,233.02
13481,2250,5,12.05,0.0,128.85
14940,13213,5,19.81,0.4,245.08
8577,11020,5,16.09,0.0,54.0
7023,39401,5,15.74,0.0,800.85
90230,30160,5,6.58,0.0,1337.86
14940,13091,5,12.05,0.2,223.17
13920,51021,5,19.46,0.0,2069.34
4362,30320,5,2.14,0.0,496.6
5104,13205,5,2.91,0.0,31.29
13660,18200,5,3.2,0.0,200.06
6711,86390,5,15.84,0.0,336.33
15081,12238,5,6.96,0.0,444.71
14940,13015,5,9.56,0.0,222.54
83408,18706,5,12.85,0.0,254.94
12215,76872,5,41.87,1.0,2346.63
87070,83260,5,12.94,0.0,438.65
87160,7020,5,10.55,0.0,567.67
15704,13211,5,11.19,0.0,495.16
2634,6010,5,5.84,0.0,14.79
8577,40157,5,19.11,0.0,1429.37
13481,6473,5,10.19,0.0,112.91
98910,2971,5,15.67,0.0,892.52
7194,26574,5,7.71,0.0,325.83
8577,65015,5,36.44,1.0,2340.27
14940,39403,5,8.92,0.0,761.77
22240,20050,5,1.46,0.0,3.39
21840,89219,5,11.29,0.0,663.14
12233,94930,5,12.34,0.0,907.18
14940,6806,5,8.83,0.0,292.14
13483,3679,5,6.6,0.0,144.79
5041,91791,5,13.45,0.0,857.54
4251,9581,5,4.14,0.0,2.18
9190,92110,5,10.0,0.0,834.25
6711,8485,5,2.45,0.0,43.55
14940,26281,5,9.19,0.2,561.79
14940,28300,5,35.87,0.6,720.28
6246,88501,5,51.04,0.8,596.03
3333,11065,5,4.04,0.0,50.95
4782,3181,5,4.55,0.0,19.27
13186,4302,5,2.8,0.0,99.62
1319,14720,5,7.14,0.0,327.73
81350,25555,5,4.71,0.0,676.29
88308,25665,5,27.16,1.0,739.3
14940,41098,5,16.95,0.0,
83280,97900,5,4.85,0.0,659.15
12230,91770,5,27.5,0.0,934.31
11701,42800,5,40.68,1.0,1518.98
37564,30575,5,5.12,0.0,341.71
13483,16050,5,5.79,0.0,344.34
14940,51021,5,11.2,0.0,2126.68
18608,37500,5,6.42,0.0,312.61
15025,17511,5,12.04,0.0,163.52
13043,13405,5,4.41,0.0,68.61
87114,87709,5,7.17,0.0,72.3
35680,6455,5,11.36,0.0,447.19
14092,23535,5,21.11,0.0,465.43
8011,2845,5,5.94,0.0,25.24
15025,17900,5,10.93,0.0,234.9
84530,37135,5,7.92,0.0,635.16
74930,83750,5,10.34,0.0,1001.28
15025,3274,5,8.66,0.0,424.24
7084,27542,5,15.03,0.0,240.4
13327,12080,5,5.27,0.0,181.11
13843,35901,5,8.69,0.0,489.53
4782,28908,5,14.71,0.2,485.15
31573,59064,5,15.18,0.0,1820.52
9416,97770,5,7.22,0.0,1051.43
87025,4713,5,13.25,0.0,533.59
2030,3416,5,4.94,0.0,9.82
14940,5640,5,7.23,0.0,297.82
8260,17600,5,6.08,0.0,455.89
14092,37570,5,11.99,0.0,189.18
8577,6774,5,15.0,0.0,47.48
89224,35600,5,25.5,0.0,811.16
2972,8471,5,8.27,0.0,34.43
29156,23954,5,4.41,0.0,523.62
5170,72225,5,28.06,1.0,865.08
2030,85808,5,7.16,0.0,716.86
13660,20921,5,15.35,0.0,451.32
15025,38800,5,12.33,0.0,385.83
9810,3738,5,5.67,0.0,24.29
35680,39560,5,6.69,0.0,497.54
18608,48605,5,11.3,0.0,1852.25
9190,14140,5,5.84,0.0,287.34
15025,13035,5,2.21,0.0,334.4
14840,5006,5,3.56,0.0,289.94
3279,8527,4,8.91,1.0,16.92
